City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,15.21,80,95,11.5,SH,1688880657
1,port alfred,-33.5906,26.891,12.35,59,34,12.48,ZA,1688880658
2,qaqortoq,60.7167,-46.0333,6.47,82,90,1.49,GL,1688880659
3,el colomo,19.05,-104.25,24.95,78,84,2.38,MX,1688880660
4,yellowknife,62.456,-114.3525,19.29,42,40,5.66,CA,1688880530
5,ar rutbah,33.0381,40.2848,30.71,30,0,4.06,IQ,1688880664
6,invercargill,-46.4,168.35,7.22,93,97,1.1,NZ,1688880666
7,portland,45.5234,-122.6762,20.97,72,0,2.57,US,1688880034
8,iqaluit,63.7506,-68.5145,5.85,93,75,5.14,CA,1688880669
9,ilulissat,69.2167,-51.1,7.01,81,75,1.03,GL,1688880670
10,hammerfest,70.6634,23.6821,9.25,81,58,0.51,NO,1688880671
11,puerto natales,-51.7236,-72.4875,-4.31,89,10,1.01,CL,1688880673
12,port-aux-francais,-49.35,70.2167,1.4,57,98,7.77,TF,1688880674
13,ribeira grande,38.5167,-28.7,19.87,93,65,0.45,PT,1688880675
14,maridi,4.9158,29.4742,21.36,89,11,1.36,SS,1688880676
15,grytviken,-54.2811,-36.5092,-5.85,84,62,5.44,GS,1688880678
16,ormara,25.2088,64.6357,29.68,72,52,5.59,PK,1688880679
17,keflavik,64.0049,-22.5624,10.95,93,40,2.57,IS,1688880680
18,dudinka,69.4058,86.1778,16.46,65,100,4.85,RU,1688880681
19,blackmans bay,-43.0167,147.3167,11.96,71,66,4.36,AU,1688880682
20,kodiak,57.79,-152.4072,11.73,71,100,6.17,US,1688880684
21,gizo,-8.103,156.8419,27.7,83,96,8.81,SB,1688880685
22,papatowai,-46.5619,169.4708,7.97,91,95,1.27,NZ,1688880686
23,isafjordur,66.0755,-23.124,11.63,57,50,2.18,IS,1688880688
24,fort bragg,35.139,-79.006,24.0,91,0,0.0,US,1688880143
25,saipan,15.1355,145.701,32.39,100,40,8.23,MP,1688880690
26,whakatane,-37.9585,176.9854,13.21,99,100,3.98,NZ,1688880692
27,mondariz,42.2311,-8.4584,14.97,94,75,3.09,ES,1688880693
28,waitangi,-43.9535,-176.5597,9.9,88,82,3.58,NZ,1688880694
29,bethel,41.3712,-73.414,23.47,86,75,0.0,US,1688880537
30,midvagur,62.0511,-7.1939,15.46,82,15,6.69,FO,1688880696
31,adamstown,-25.066,-130.1015,21.63,73,52,8.51,PN,1688880697
32,hawaiian paradise park,19.5933,-154.9731,23.73,89,100,1.54,US,1688880699
33,yinchuan,38.4681,106.2731,36.43,11,51,3.17,CN,1688880700
34,mount pearl,47.5166,-52.7813,16.85,94,75,2.06,CA,1688880642
35,puerto quijarro,-17.7833,-57.7667,21.87,58,0,0.86,BO,1688880702
36,langzhong,31.5504,105.9938,33.3,58,5,2.04,CN,1688880703
37,ushuaia,-54.8,-68.3,3.81,75,75,9.26,AR,1688880686
38,belyy yar,53.6039,91.3903,23.94,60,0,5.0,RU,1688880706
39,hadibu,12.65,54.0333,26.39,73,100,11.49,YE,1688880707
40,puerto baquerizo moreno,-0.9,-89.6,24.9,77,68,5.8,EC,1688880708
41,melfort,52.8667,-104.6177,16.07,63,55,3.6,CA,1688880709
42,egilsstadir,65.2653,-14.3948,16.82,77,100,1.16,IS,1688880710
43,watsa,3.0372,29.5355,18.75,95,98,0.65,CD,1688880712
44,utrik,11.2278,169.8474,28.05,80,99,8.75,MH,1688880713
45,enewetak,11.3474,162.3373,28.16,81,99,6.76,MH,1688880714
46,old town,50.087,14.4202,22.2,60,0,1.03,CZ,1688880715
47,puerto ayora,-0.7393,-90.3518,25.31,91,24,2.68,EC,1688880716
48,eenhana,-17.4667,16.3333,10.45,40,0,2.6,NA,1688880717
49,miyaly,48.8844,53.7836,39.31,12,3,5.37,KZ,1688880719
50,ulsteinvik,62.3432,5.8487,18.2,82,97,0.45,NO,1688880720
51,keningau,5.3378,116.1602,24.31,94,97,0.56,MY,1688880721
52,georgetown,5.4112,100.3354,28.96,82,40,1.54,MY,1688880723
53,kununurra,-15.7667,128.7333,24.99,22,40,6.69,AU,1688879907
54,pisco,-13.7,-76.2167,17.03,77,1,0.0,PE,1688880726
55,ponta delgada,37.7333,-25.6667,17.4,82,40,1.54,PT,1688880727
56,wailua homesteads,22.0669,-159.378,27.24,77,40,8.23,US,1688880728
57,badvel,14.75,79.05,32.05,56,100,6.02,IN,1688880729
58,cidreira,-30.1811,-50.2056,16.06,87,70,4.16,BR,1688880731
59,bilibino,68.0546,166.4372,25.09,27,32,4.88,RU,1688880732
60,goundam,16.4145,-3.6708,30.19,50,16,6.37,ML,1688880733
61,east london,-33.0153,27.9116,10.52,62,0,5.14,ZA,1688880734
62,snyder,32.7179,-100.9176,30.19,42,0,4.63,US,1688880718
63,albany,42.6001,-73.9662,22.19,93,78,0.87,US,1688880661
64,rio branco,-9.9747,-67.81,24.34,100,0,1.03,BR,1688880738
65,port elizabeth,-33.918,25.5701,10.05,87,20,9.77,ZA,1688880739
66,machico,32.7,-16.7667,22.06,86,20,1.54,PT,1688880740
67,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,77,75,6.0,RU,1688880741
68,klyuchi,52.2667,79.1667,26.19,34,4,5.03,RU,1688880161
69,laojunmiao,39.8333,97.7333,30.92,18,67,6.16,CN,1688880745
70,lompoc,34.6391,-120.4579,14.45,84,100,12.07,US,1688880748
71,iskateley,67.6803,53.1512,8.44,64,100,4.68,RU,1688880749
72,hermanus,-34.4187,19.2345,8.22,75,96,7.27,ZA,1688880750
73,vila velha,-20.3297,-40.2925,21.08,89,0,1.03,BR,1688880467
74,aden,12.7794,45.0367,31.61,74,97,2.74,YE,1688880559
75,kumertau,52.7667,55.7833,29.72,33,88,0.75,RU,1688880754
76,jianshui,23.6363,102.8264,28.68,57,100,3.98,CN,1688880755
77,haiku-pauwela,20.9219,-156.3051,23.91,82,40,6.69,US,1688880756
78,athens,37.9795,23.7162,27.87,65,20,3.13,GR,1688880563
79,kisangani,0.5167,25.2,21.31,85,25,1.09,CD,1688880160
80,avarua,-21.2078,-159.775,25.03,94,0,4.63,CK,1688880760
81,vorgashor,67.5833,63.95,8.3,67,100,2.13,RU,1688880761
82,plunge,55.9114,21.8442,17.33,57,0,1.86,LT,1688880762
83,margaret river,-33.95,115.0667,15.88,71,100,7.51,AU,1688880763
84,minas de marcona,-15.2119,-75.1103,11.06,90,35,4.54,PE,1688880765
85,rio gallegos,-51.6226,-69.2181,-2.97,74,0,4.63,AR,1688880766
86,palmer,42.1584,-72.3287,23.34,85,40,2.06,US,1688880767
87,bredasdorp,-34.5322,20.0403,9.27,86,96,4.07,ZA,1688880768
88,whitehorse,60.7161,-135.0538,25.43,23,75,2.57,CA,1688880598
89,itaituba,-4.2761,-55.9836,24.25,81,64,0.92,BR,1688880770
90,kiunga,-6.1219,141.2906,25.96,97,99,1.42,PG,1688880773
91,tura,25.5198,90.2201,30.14,70,99,2.92,IN,1688880774
92,west island,-12.1568,96.8225,27.99,69,40,6.17,CC,1688880775
93,torghay,49.6339,63.4981,31.51,24,14,3.58,KZ,1688880776
